13:22:34.663781 [queue=0] packet #0, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=20 is delivered
13:22:34.666772 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=20 is delayed for 45ms
13:22:34.669764 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=20 is delivered
13:22:34.727615 [queue=1] packet #1, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=20 is delayed for 37ms
13:22:34.727615 [queue=0] packet #1, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=20 is delivered
13:22:34.737583 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=20 is dropped
13:22:34.737583 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=20 is delayed for 73ms
13:22:34.738579 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=20 is delivered
13:22:34.820563 [queue=1] packet #2, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=18 is delayed for 59ms
13:22:34.820563 [queue=0] packet #2, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=18 is delivered
13:22:34.823561 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=18 is delayed for 58ms
13:22:34.823561 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=18 is delivered
13:22:34.960185 [queue=1] packet #3, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is delayed for 23ms
13:22:34.960185 [queue=0] packet #3, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is delivered
13:22:34.962179 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=0 is delayed for 64ms
13:22:34.964174 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:8181, sz=0 is delivered
13:22:35.039467 [queue=0] packet #4, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is dropped
13:22:35.039467 [queue=1] packet #4, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is delayed for 61ms
13:22:35.040466 [queue=0] packet #4, 127.0.0.1:8181 -> 127.0.0.1:8080, sz=0 is delivered
